"level"	"id"	"parent_id"	"object_id"	"object_type"	"query_status"	"query_time"	"query_type"	"message"	"from.name"	"from.id"	"created_time"	"updated_time"	"comments.data"	"comments.summary.order"	"comments.summary.total_count"	"comments.summary.can_comment"	"id"
"0"	"1"	""	"26781952138"	"seed"	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"2"	"1"	"26781952138_10159283646037139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T07:04:19+0000"	"2020-11-20T07:04:19+0000"	""	"ranked"	"0"	"True"	"26781952138_10159283646037139"
"1"	"3"	"1"	"26781952138_10159283641247139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"Tracking #Covid_19 

For complete coverage on Covid-19 outbreak, log on to https://timesofindia.com/coronavirus  

#Covid19Outbreak Live updates: http://toi.in/LU0FkZ"	"The Times of India"	"26781952138"	"2020-11-20T07:00:57+0000"	"2020-11-20T07:00:57+0000"	""	"ranked"	"0"	"True"	"26781952138_10159283641247139"
"1"	"4"	"1"	"26781952138_10159283608747139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"Some 70,000 Hondurans and 160,000 Nicaraguans have been forced to flee to shelters."	"The Times of India"	"26781952138"	"2020-11-20T07:00:02+0000"	"2020-11-20T07:00:05+0000"	""	"ranked"	"0"	"True"	"26781952138_10159283608747139"
"1"	"5"	"1"	"26781952138_10159283598612139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"India's Ajinkya Rahane has his own personality and it would be a mistake for him to try and copy Virat Kohli's leadership style in the final three Tests against Australia, former Test spinner Harbhajan Singh has said."	"The Times of India"	"26781952138"	"2020-11-20T06:50:55+0000"	"2020-11-20T07:03:05+0000"	""	"ranked"	"2"	"True"	"26781952138_10159283598612139"
"1"	"6"	"1"	"26781952138_10159283140712139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"Balance sheet stress that had been building before the coronavirus outbreak will probably worsen, Priyanka Kishore, head of economics for South Asia and South-East Asia, wrote in the report. She projects potential growth for India at 4.5% over the next five years, lower than 6.5% before the virus."	"The Times of India"	"26781952138"	"2020-11-20T06:45:00+0000"	"2020-11-20T07:04:02+0000"	""	"ranked"	"12"	"True"	"26781952138_10159283140712139"
"1"	"7"	"1"	"26781952138_10159283624972139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"With amazing offers curated especially for you, Samsung wants the good times to continue! So, wait no more and head over to https://www.samsung.com/in/tvs/qled-tv/4k/highlights/, to let the merry times roll!"	"The Times of India"	"26781952138"	"2020-11-20T06:44:02+0000"	"2020-11-20T06:56:29+0000"	""	"ranked"	"1"	"True"	"26781952138_10159283624972139"
"1"	"8"	"1"	"26781952138_10159283591322139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"Siddiqui (25), who owns FF News YouTube channel, is the third person against whom police have taken legal action for carrying out a malicious campaign by uploading fake news stories on Rajput’s death case."	"The Times of India"	"26781952138"	"2020-11-20T06:40:17+0000"	"2020-11-20T07:02:31+0000"	""	"ranked"	"10"	"True"	"26781952138_10159283591322139"
"1"	"9"	"1"	"26781952138_10159283618737139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T06:35:24+0000"	"2020-11-20T06:56:58+0000"	""	"ranked"	"1"	"True"	"26781952138_10159283618737139"
"1"	"10"	"1"	"26781952138_10159283613197139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T06:31:28+0000"	"2020-11-20T06:57:19+0000"	""	"ranked"	"1"	"True"	"26781952138_10159283613197139"
"1"	"11"	"1"	"26781952138_10159283137877139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"A Chinese official gave a dossier to Australian media containing 14 grievances, highlighting the increasingly fractious relationship between the two nations."	"The Times of India"	"26781952138"	"2020-11-20T06:30:00+0000"	"2020-11-20T07:05:00+0000"	""	"ranked"	"2"	"True"	"26781952138_10159283137877139"
"1"	"12"	"1"	"26781952138_10159283606587139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"He joked this is '2020 in a nutshell'"	"The Times of India"	"26781952138"	"2020-11-20T06:24:09+0000"	"2020-11-20T06:24:09+0000"	""	"ranked"	"0"	"True"	"26781952138_10159283606587139"
"1"	"13"	"1"	"26781952138_10159283579237139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"After decades of claims by oil and natural gas exploration agencies, Bengal finally looks set to find a place on the oil map of the world"	"The Times of India"	"26781952138"	"2020-11-20T06:20:00+0000"	"2020-11-20T07:05:03+0000"	""	"ranked"	"28"	"True"	"26781952138_10159283579237139"
"1"	"14"	"1"	"26781952138_10159283596317139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T06:14:49+0000"	"2020-11-20T07:01:53+0000"	""	"ranked"	"16"	"True"	"26781952138_10159283596317139"
"1"	"15"	"1"	"26781952138_10159283136192139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T06:14:00+0000"	"2020-11-20T06:19:44+0000"	""	"ranked"	"1"	"True"	"26781952138_10159283136192139"
"1"	"16"	"1"	"26781952138_10159283585947139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"BJP said that NC’s acceptance of the legislative changes in Ladakh strengthened its stand on the issue and it expected that the party wo-uld accept it even in J&K."	"The Times of India"	"26781952138"	"2020-11-20T06:04:19+0000"	"2020-11-20T06:19:50+0000"	""	"ranked"	"8"	"True"	"26781952138_10159283585947139"
"1"	"17"	"1"	"26781952138_10159283133227139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"A statement issued on behalf of the artists has termed as ""inhuman"" the government's decision to send eviction notices during the pandemic while giving just about a month's time to them to vacate before the termination of the allotment."	"The Times of India"	"26781952138"	"2020-11-20T06:00:01+0000"	"2020-11-20T07:05:16+0000"	""	"ranked"	"58"	"True"	"26781952138_10159283133227139"
"1"	"18"	"1"	"26781952138_10159283574667139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"The Securities and Exchange Board of India (Sebi) has moved the Supreme Court, seeking a direction to Subrata Roy's two Sahara Group companies to pay up the remainder of the amount directed to be deposited by the apex court in 2012. With interest this amount has ballooned to Rs 62,600 crore."	"The Times of India"	"26781952138"	"2020-11-20T05:53:48+0000"	"2020-11-20T06:20:38+0000"	""	"ranked"	"2"	"True"	"26781952138_10159283574667139"
"1"	"19"	"1"	"26781952138_10159283572402139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"Pakistan fails its women from the very top of government leadership to those who live in our homes"	"The Times of India"	"26781952138"	"2020-11-20T05:51:07+0000"	"2020-11-20T06:56:19+0000"	""	"ranked"	"22"	"True"	"26781952138_10159283572402139"
"1"	"20"	"1"	"26781952138_10159283571142139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	"The Times of India"	"26781952138"	"2020-11-20T05:50:09+0000"	"2020-11-20T07:04:06+0000"	""	"ranked"	"33"	"True"	"26781952138_10159283571142139"
"1"	"21"	"1"	"26781952138_10159283566112139"	"data"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	"The Lancet has reported that the Covid vaccine developed by the University of Oxford triggers a robust response."	"The Times of India"	"26781952138"	"2020-11-20T05:45:54+0000"	"2020-11-20T05:45:54+0000"	""	"ranked"	"0"	"True"	"26781952138_10159283566112139"
"1"	"22"	"1"	"26781952138"	"offcut"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	""	""	""	""	""	""	""	""	""
"1"	"23"	"1"	"26781952138"	"headers"	"fetched (200)"	"2020-11-20 12:35:18.896645"	"Facebook:/<page-id>/posts"	""	""	""	""	""	""	""	""	""	""
